p3,ub,p4,algo,p1,p2,mean_run,itiration,real_cost
0.0,5,0.0,dsa0.6,0.5,1.0,1,0,2180
0.0,5,0.0,dsa0.6,0.5,1.0,1,1,1929
0.0,5,0.0,dsa0.6,0.5,1.0,1,2,1856
0.0,5,0.0,dsa0.6,0.5,1.0,1,3,1814
0.0,5,0.0,dsa0.6,0.5,1.0,1,4,1679
0.0,5,0.0,dsa0.6,0.5,1.0,1,5,1666
0.0,5,0.0,dsa0.6,0.5,1.0,1,6,1663
0.0,5,0.0,dsa0.6,0.5,1.0,1,7,1586
0.0,5,0.0,dsa0.6,0.5,1.0,1,8,1576
0.0,5,0.0,dsa0.6,0.5,1.0,1,9,1527
0.0,5,0.0,dsa0.6,0.5,1.0,1,10,1517
0.0,5,0.0,dsa0.6,0.5,1.0,1,11,1503
0.0,5,0.0,dsa0.6,0.5,1.0,1,12,1503
0.0,5,0.0,dsa0.6,0.5,1.0,1,13,1500
0.0,5,0.0,dsa0.6,0.5,1.0,1,14,1491
0.0,5,0.0,dsa0.6,0.5,1.0,1,15,1486
0.0,5,0.0,dsa0.6,0.5,1.0,1,16,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,17,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,18,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,19,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,20,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,21,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,22,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,23,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,24,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,25,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,26,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,27,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,28,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,29,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,30,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,31,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,32,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,33,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,34,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,35,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,36,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,37,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,38,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,39,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,40,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,41,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,42,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,43,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,44,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,45,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,46,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,47,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,48,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,49,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,50,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,51,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,52,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,53,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,54,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,55,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,56,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,57,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,58,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,59,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,60,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,61,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,62,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,63,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,64,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,65,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,66,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,67,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,68,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,69,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,70,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,71,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,72,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,73,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,74,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,75,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,76,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,77,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,78,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,79,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,80,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,81,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,82,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,83,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,84,1482
0.0,5,0.0,dsa0.6,0.5,1.0,1,85,1482
