p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,0,1404
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,1,1206
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,2,1158
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,3,1024
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,4,987
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,5,930
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,6,921
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,7,902
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,8,884
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,9,887
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,10,875
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,11,869
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,12,863
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,13,863
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,14,862
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,15,862
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,16,855
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,17,870
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,18,861
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,19,861
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,20,858
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,21,862
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,22,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,23,852
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,24,851
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,25,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,26,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,27,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,28,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,29,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,30,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,31,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,32,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,33,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,34,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,35,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,36,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,37,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,38,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,39,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,40,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,41,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,42,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,43,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,44,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,45,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,46,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,47,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,48,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,49,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,50,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,51,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,52,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,53,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,54,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,55,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,56,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,57,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,58,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,59,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,60,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,61,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,62,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,63,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,64,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,65,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,66,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,67,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,68,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,69,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,70,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,71,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,72,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,73,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,74,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,75,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,76,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,77,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,78,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,79,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,80,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,81,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,82,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,83,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,84,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,85,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,86,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,87,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,88,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,89,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,90,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,91,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,92,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,93,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,94,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,95,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,96,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,97,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,98,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,1,99,846
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,0,1491
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,1,1303
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,2,1161
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,3,1116
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,4,1088
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,5,1036
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,6,1021
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,7,969
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,8,963
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,9,953
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,10,942
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,11,926
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,12,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,13,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,14,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,15,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,16,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,17,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,18,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,19,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,20,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,21,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,22,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,23,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,24,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,25,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,26,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,27,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,28,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,29,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,30,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,31,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,32,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,33,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,34,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,35,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,36,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,37,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,38,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,39,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,40,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,41,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,42,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,43,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,44,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,45,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,46,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,47,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,48,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,49,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,50,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,51,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,52,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,53,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,54,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,55,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,56,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,57,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,58,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,59,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,60,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,61,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,62,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,63,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,64,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,65,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,66,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,67,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,68,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,69,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,70,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,71,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,72,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,73,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,74,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,75,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,76,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,77,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,78,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,79,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,80,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,81,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,82,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,83,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,84,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,85,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,86,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,87,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,88,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,89,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,90,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,91,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,92,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,93,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,94,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,95,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,96,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,97,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,98,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,2,99,923
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,0,1381
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,1,1201
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,2,1154
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,3,1127
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,4,1046
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,5,991
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,6,967
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,7,932
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,8,902
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,9,892
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,10,889
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,11,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,12,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,13,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,14,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,15,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,16,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,17,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,18,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,19,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,20,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,21,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,22,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,23,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,24,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,25,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,26,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,27,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,28,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,29,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,30,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,31,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,32,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,33,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,34,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,35,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,36,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,37,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,38,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,39,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,40,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,41,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,42,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,43,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,44,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,45,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,46,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,47,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,48,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,49,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,50,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,51,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,52,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,53,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,54,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,55,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,56,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,57,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,58,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,59,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,60,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,61,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,62,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,63,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,64,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,65,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,66,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,67,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,68,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,69,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,70,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,71,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,72,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,73,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,74,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,75,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,76,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,77,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,78,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,79,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,80,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,81,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,82,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,83,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,84,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,85,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,86,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,87,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,88,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,89,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,90,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,91,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,92,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,93,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,94,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,95,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,96,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,97,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,98,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,3,99,868
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,0,1135
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,1,1057
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,2,980
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,3,934
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,4,907
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,5,884
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,6,892
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,7,882
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,8,861
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,9,841
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,10,838
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,11,835
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,12,824
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,13,822
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,14,814
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,15,803
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,16,790
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,17,784
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,18,763
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,19,757
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,20,757
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,21,757
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,22,757
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,23,757
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,24,757
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,25,757
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,26,757
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,27,757
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,28,757
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,29,757
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,30,757
0.0,false,0,0.0,dsaD0.7,0.2,1.0,4,31,757
