p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,0,43188
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,1,40300
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,2,38863
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,3,36454
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,4,36451
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,5,35983
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,6,35470
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,7,34428
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,8,34098
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,9,33824
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,10,33760
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,11,33786
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,12,33631
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,13,33359
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,14,33514
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,15,33332
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,16,33321
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,17,33313
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,18,33256
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,19,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,20,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,21,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,22,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,23,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,24,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,25,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,26,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,27,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,28,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,29,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,30,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,31,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,32,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,33,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,34,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,35,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,36,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,37,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,38,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,39,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,40,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,41,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,42,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,43,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,44,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,45,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,46,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,47,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,48,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,49,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,50,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,51,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,52,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,53,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,54,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,55,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,56,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,57,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,58,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,59,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,60,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,61,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,62,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,63,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,64,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,65,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,66,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,67,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,68,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,69,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,70,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,71,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,72,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,73,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,74,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,75,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,76,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,77,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,78,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,79,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,80,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,81,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,82,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,83,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,84,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,85,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,86,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,87,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,88,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,89,33217
0.0,false,10,0.0,dsaD0.7,0.7,1.0,1,90,33217
