p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost
1.0,true,10,0.0,,0.5,1.0,1,0,2147483647,2147483647
1.0,true,10,0.0,,0.5,1.0,1,1,932,2147483647
1.0,true,10,0.0,,0.5,1.0,1,2,932,2147483647
1.0,true,10,0.0,,0.5,1.0,1,3,1098,2147483647
1.0,true,10,0.0,,0.5,1.0,1,4,1098,2147483647
1.0,true,10,0.0,,0.5,1.0,1,5,1018,2147483647
1.0,true,10,0.0,,0.5,1.0,1,6,1018,2147483647
1.0,true,10,0.0,,0.5,1.0,1,7,1141,2147483647
1.0,true,10,0.0,,0.5,1.0,1,8,936,2147483647
1.0,true,10,0.0,,0.5,1.0,1,9,839,2147483647
1.0,true,10,0.0,,0.5,1.0,1,10,808,2147483647
1.0,true,10,0.0,,0.5,1.0,1,11,1027,2147483647
1.0,true,10,0.0,,0.5,1.0,1,12,904,2147483647
1.0,true,10,0.0,,0.5,1.0,1,13,995,2147483647
1.0,true,10,0.0,,0.5,1.0,1,14,844,2147483647
1.0,true,10,0.0,,0.5,1.0,1,15,663,2147483647
1.0,true,10,0.0,,0.5,1.0,1,16,885,2147483647
1.0,true,10,0.0,,0.5,1.0,1,17,801,2147483647
1.0,true,10,0.0,,0.5,1.0,1,18,827,2147483647
1.0,true,10,0.0,,0.5,1.0,1,19,801,2147483647
1.0,true,10,0.0,,0.5,1.0,1,20,954,2147483647
1.0,true,10,0.0,,0.5,1.0,1,21,857,2147483647
1.0,true,10,0.0,,0.5,1.0,1,22,736,2147483647
1.0,true,10,0.0,,0.5,1.0,1,23,736,2147483647
1.0,true,10,0.0,,0.5,1.0,1,24,619,2147483647
1.0,true,10,0.0,,0.5,1.0,1,25,571,2147483647
1.0,true,10,0.0,,0.5,1.0,1,26,560,2147483647
1.0,true,10,0.0,,0.5,1.0,1,27,677,2147483647
1.0,true,10,0.0,,0.5,1.0,1,28,833,2147483647
1.0,true,10,0.0,,0.5,1.0,1,29,697,2147483647
1.0,true,10,0.0,,0.5,1.0,1,30,720,2147483647
1.0,true,10,0.0,,0.5,1.0,1,31,467,2147483647
1.0,true,10,0.0,,0.5,1.0,1,32,430,2147483647
1.0,true,10,0.0,,0.5,1.0,1,33,587,2147483647
1.0,true,10,0.0,,0.5,1.0,1,34,409,2147483647
1.0,true,10,0.0,,0.5,1.0,1,35,428,2147483647
1.0,true,10,0.0,,0.5,1.0,1,36,377,2147483647
1.0,true,10,0.0,,0.5,1.0,1,37,377,2147483647
1.0,true,10,0.0,,0.5,1.0,1,38,425,2147483647
1.0,true,10,0.0,,0.5,1.0,1,39,435,2147483647
1.0,true,10,0.0,,0.5,1.0,1,40,315,2147483647
1.0,true,10,0.0,,0.5,1.0,1,41,315,2147483647
1.0,true,10,0.0,,0.5,1.0,1,42,274,2147483647
1.0,true,10,0.0,,0.5,1.0,1,43,274,2147483647
1.0,true,10,0.0,,0.5,1.0,1,44,274,2147483647
1.0,true,10,0.0,,0.5,1.0,1,45,274,2147483647
1.0,true,10,0.0,,0.5,1.0,1,46,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,47,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,48,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,49,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,50,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,51,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,52,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,53,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,54,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,55,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,56,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,57,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,58,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,59,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,60,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,61,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,62,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,63,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,64,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,65,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,66,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,67,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,68,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,69,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,70,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,71,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,72,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,73,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,74,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,75,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,76,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,77,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,78,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,79,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,80,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,81,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,82,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,83,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,84,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,85,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,86,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,87,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,88,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,89,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,90,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,91,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,92,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,93,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,94,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,95,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,96,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,97,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,98,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,99,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,100,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,101,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,102,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,103,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,104,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,105,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,106,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,107,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,108,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,109,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,110,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,111,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,112,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,113,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,114,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,115,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,116,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,117,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,118,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,119,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,120,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,121,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,122,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,123,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,124,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,125,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,126,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,127,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,128,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,129,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,130,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,131,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,132,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,133,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,134,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,135,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,136,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,137,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,138,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,139,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,140,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,141,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,142,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,143,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,144,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,145,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,146,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,147,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,148,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,149,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,150,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,151,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,152,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,153,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,154,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,155,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,156,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,157,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,158,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,159,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,160,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,161,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,162,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,163,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,164,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,165,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,166,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,167,240,2147483647
1.0,true,10,0.0,,0.5,1.0,1,168,240,2147483647
