p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost
0.0,true,-1,-1.0,,0.5,1.0,1,0,2147483647,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,1,932,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,2,730,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,3,409,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,4,336,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,5,336,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,6,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,7,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,8,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,9,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,10,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,11,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,12,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,13,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,14,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,15,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,16,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,17,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,18,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,19,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,20,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,21,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,22,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,23,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,24,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,25,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,26,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,27,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,28,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,29,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,30,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,31,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,32,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,33,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,34,289,2147483647
0.0,true,-1,-1.0,,0.5,1.0,1,35,289,2147483647
