p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost,top_cost,memory_style,hyper_parametr
1.0,true,5,0.0,,0.2,1.0,1,0,2147483647,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,1,1914,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,2,1914,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,3,1712,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,4,1712,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,5,1500,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,6,1970,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,7,1952,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,8,1880,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,9,1564,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,10,1364,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,11,1506,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,12,1506,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,13,1722,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,14,1410,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,15,1058,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,16,1266,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,17,1670,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,18,1286,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,19,928,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,20,1098,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,21,822,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,22,1046,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,23,1046,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,24,878,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,25,946,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,26,946,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,27,856,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,28,816,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,29,848,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,30,848,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,31,754,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,32,754,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,33,702,2147483647,878,2,1000
1.0,true,5,0.0,,0.2,1.0,1,34,702,2147483647,878,2,1000
1.0,true,5,0.0,,0.2,1.0,1,35,636,2147483647,878,2,1000
1.0,true,5,0.0,,0.2,1.0,1,36,636,2147483647,878,2,1000
1.0,true,5,0.0,,0.2,1.0,1,37,636,2147483647,878,2,1000
1.0,true,5,0.0,,0.2,1.0,1,38,632,2147483647,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,39,632,2147483647,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,40,632,2147483647,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,41,632,2147483647,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,42,632,2147483647,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,43,632,2147483647,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,44,632,2147483647,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,45,632,2147483647,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,46,632,654,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,47,632,654,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,48,632,654,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,49,632,654,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,50,632,654,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,51,632,654,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,52,632,654,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,53,632,654,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,54,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,55,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,56,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,57,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,58,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,59,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,60,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,61,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,62,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,63,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,64,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,65,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,66,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,67,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,68,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,69,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,70,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,71,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,72,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,73,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,74,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,75,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,76,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,77,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,78,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,79,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,80,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,81,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,82,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,83,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,84,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,85,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,86,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,87,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,88,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,89,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,90,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,91,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,92,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,93,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,94,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,95,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,96,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,97,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,98,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,99,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,100,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,101,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,102,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,103,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,104,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,105,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,106,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,107,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,108,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,109,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,110,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,111,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,112,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,113,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,114,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,115,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,116,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,117,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,118,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,119,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,120,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,121,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,122,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,123,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,124,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,125,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,126,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,127,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,128,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,129,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,130,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,131,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,132,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,133,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,134,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,135,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,136,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,137,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,138,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,139,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,140,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,141,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,142,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,143,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,144,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,145,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,146,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,147,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,148,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,149,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,150,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,151,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,152,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,153,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,154,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,155,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,156,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,157,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,158,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,159,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,160,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,161,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,162,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,163,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,164,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,165,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,166,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,167,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,168,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,169,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,170,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,171,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,172,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,173,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,174,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,175,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,176,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,177,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,178,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,179,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,180,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,181,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,182,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,183,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,184,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,185,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,186,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,187,632,632,632,2,1000
1.0,true,5,0.0,,0.2,1.0,1,188,632,632,632,2,1000
