p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost,top_cost,memory_style,hyper_parametr
1.0,true,5,0.0,,0.2,1.0,1,0,2147483647,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,1,1914,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,2,1914,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,3,1712,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,4,1712,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,5,1500,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,6,1970,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,7,1952,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,8,1880,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,9,1564,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,10,1364,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,11,1506,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,12,1506,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,13,1722,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,14,1410,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,15,1058,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,16,1266,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,17,1670,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,18,1286,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,19,928,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,20,1098,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,21,822,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,22,1046,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,23,1046,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,24,1082,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,25,866,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,26,668,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,27,696,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,28,696,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,29,788,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,30,974,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,31,974,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,32,788,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,33,666,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,1,34,666,2147483647,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,35,666,2147483647,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,36,666,2147483647,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,37,666,2147483647,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,38,666,2147483647,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,39,660,2147483647,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,40,660,2147483647,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,41,660,2147483647,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,42,660,2147483647,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,43,660,2147483647,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,44,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,45,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,46,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,47,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,48,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,49,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,50,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,51,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,52,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,53,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,54,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,55,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,56,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,57,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,58,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,59,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,60,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,61,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,62,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,63,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,64,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,65,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,66,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,67,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,68,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,69,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,70,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,71,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,72,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,73,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,74,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,75,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,76,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,77,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,78,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,79,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,80,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,81,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,82,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,83,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,84,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,85,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,86,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,87,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,88,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,89,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,90,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,91,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,92,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,93,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,94,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,95,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,96,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,97,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,98,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,99,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,100,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,101,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,102,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,103,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,104,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,105,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,106,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,107,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,108,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,109,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,110,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,111,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,112,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,113,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,114,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,115,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,116,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,117,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,118,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,119,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,120,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,121,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,122,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,123,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,124,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,125,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,126,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,127,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,128,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,129,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,130,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,131,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,132,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,133,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,134,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,135,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,136,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,137,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,138,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,139,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,140,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,141,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,142,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,143,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,144,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,145,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,146,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,147,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,148,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,149,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,150,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,151,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,152,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,153,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,154,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,155,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,156,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,157,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,158,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,159,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,160,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,161,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,162,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,163,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,164,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,165,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,166,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,167,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,168,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,169,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,170,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,171,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,172,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,173,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,174,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,175,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,176,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,177,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,178,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,179,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,180,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,181,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,182,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,183,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,184,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,185,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,186,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,187,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,188,660,660,660,2,1000
