p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost,top_cost,memory_style,hyper_parametr
1.0,true,5,0.0,,0.2,1.0,1,0,2147483647,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,1,1914,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,2,1914,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,3,1712,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,4,1712,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,5,1500,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,6,1970,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,7,1952,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,8,1880,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,9,1564,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,10,1364,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,11,1506,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,12,1190,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,13,1240,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,14,1240,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,15,838,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,16,840,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,17,956,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,18,1182,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,19,1258,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,20,1258,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,21,858,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,22,840,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,23,718,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,24,688,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,25,694,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,26,648,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,27,804,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,28,950,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,29,942,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,30,896,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,31,1006,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,32,956,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,33,858,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,34,858,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,35,606,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,36,842,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,37,818,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,38,930,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,39,820,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,40,820,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,41,724,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,42,846,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,43,876,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,44,876,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,45,876,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,46,724,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,47,820,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,48,654,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,49,688,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,50,688,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,51,688,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,52,630,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,53,630,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,54,630,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,55,630,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,56,584,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,57,584,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,58,584,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,59,584,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,60,584,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,61,584,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,62,584,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,63,584,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,64,584,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,65,584,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,66,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,67,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,68,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,69,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,70,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,71,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,72,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,73,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,74,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,75,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,76,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,77,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,78,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,79,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,80,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,81,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,82,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,83,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,84,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,85,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,86,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,87,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,88,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,89,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,90,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,91,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,92,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,93,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,94,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,95,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,96,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,97,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,98,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,99,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,100,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,101,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,102,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,103,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,104,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,105,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,106,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,107,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,108,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,109,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,110,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,111,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,112,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,113,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,114,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,115,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,116,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,117,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,118,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,119,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,120,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,121,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,122,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,123,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,124,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,125,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,126,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,127,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,128,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,129,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,130,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,131,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,132,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,133,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,134,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,135,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,136,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,137,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,138,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,139,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,140,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,141,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,142,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,143,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,144,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,145,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,146,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,147,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,148,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,149,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,150,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,151,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,152,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,153,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,154,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,155,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,156,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,157,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,158,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,159,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,160,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,161,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,162,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,163,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,164,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,165,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,166,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,167,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,168,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,169,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,170,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,171,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,172,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,173,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,174,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,175,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,176,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,177,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,178,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,179,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,180,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,181,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,182,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,183,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,184,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,185,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,186,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,187,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,188,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,189,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,190,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,191,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,192,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,193,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,194,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,195,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,196,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,197,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,198,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,199,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,200,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,201,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,202,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,203,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,204,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,205,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,206,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,207,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,208,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,209,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,210,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,211,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,212,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,213,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,214,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,215,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,216,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,217,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,218,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,219,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,220,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,221,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,222,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,223,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,224,576,2147483647,2147483647,3,0.0
1.0,true,5,0.0,,0.2,1.0,1,225,576,2147483647,2147483647,3,0.0
