p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost,memory_style,hyper_parametr
1.0,true,5,0.0,,0.2,1.0,1,0,2147483647,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,1,1914,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,2,1914,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,3,1712,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,4,1712,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,5,1500,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,6,1970,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,7,1952,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,8,1880,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,9,1564,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,10,1364,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,11,1506,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,12,1506,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,13,1722,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,14,1722,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,15,1466,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,16,1316,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,17,1398,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,18,1570,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,19,1576,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,20,1446,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,21,1434,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,22,1358,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,23,1420,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,24,1268,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,25,1384,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,26,1400,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,27,1304,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,28,2058,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,29,1176,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,30,1490,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,31,1342,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,32,1490,2147483647,2,4
1.0,true,5,0.0,,0.2,1.0,1,33,1582,2147483647,2,4
