p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost,memory_style,hyper_parametr
1.0,true,5,0.0,,0.2,1.0,1,0,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,1,1914,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,2,1914,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,3,1712,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,4,1712,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,5,1500,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,6,1970,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,7,1952,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,8,1880,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,9,1564,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,10,1364,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,11,1506,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,12,1506,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,13,1722,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,14,1722,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,15,1466,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,16,1316,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,17,1398,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,18,1570,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,19,1576,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,20,1446,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,21,1434,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,22,1358,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,23,1420,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,24,1314,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,25,1338,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,26,1536,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,27,1406,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,28,1626,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,29,1592,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,30,1586,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,31,1066,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,32,892,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,33,948,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,34,1152,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,35,1204,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,36,1204,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,37,1092,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,38,956,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,39,956,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,40,926,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,41,926,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,42,656,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,43,668,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,44,854,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,45,852,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,46,852,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,47,600,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,48,600,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,49,600,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,50,674,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,51,674,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,52,600,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,53,564,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,54,564,2147483647,1,0
