dcop,p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_costanytime_cost,top_cost,memory_style,hyper_parametr
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,0,2.14748E+19,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,1,3.99221E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,2,3.99221E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,3,3.90221E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,4,4.10621E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,5,4.30621E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,6,4.15621E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,7,4.15621E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,8,4.24421E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,9,3.82021E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,10,3.29221E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,11,4.14821E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,12,3.84421E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,13,3.86821E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,14,4.52221E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,15,3.85421E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,16,4.10221E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,17,3.14421E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,18,3.49021E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,19,3.78021E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,20,3.80221E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,21,3.54621E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,22,3.64821E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,23,3.68821E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,24,3.18421E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,25,3.67821E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,26,3.71821E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,27,3.53821E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,28,3.34821E+13,2147483647,1,0
