p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,0,2604
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,1,2604
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,2,2604
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,3,2604
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,4,2603
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,5,2543
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,6,2493
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,7,2257
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,8,2206
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,9,2203
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,10,2130
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,11,2084
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,12,2068
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,13,2009
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,14,1971
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,15,1977
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,16,1951
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,17,1926
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,18,1939
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,19,1855
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,20,1835
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,21,1773
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,22,1773
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,23,1693
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,24,1705
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,25,1657
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,26,1630
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,27,1662
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,28,1667
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,29,1655
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,30,1694
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,31,1672
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,32,1611
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,33,1597
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,34,1596
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,35,1617
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,36,1599
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,37,1560
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,38,1560
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,39,1554
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,40,1554
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,41,1554
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,42,1522
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,43,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,44,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,45,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,46,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,47,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,48,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,49,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,50,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,51,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,52,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,53,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,54,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,55,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,56,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,57,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,58,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,59,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,60,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,61,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,62,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,63,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,64,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,65,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,66,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,67,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,68,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,69,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,70,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,71,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,72,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,73,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,74,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,75,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,76,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,77,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,78,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,79,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,80,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,81,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,82,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,83,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,84,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,85,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,86,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,87,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,88,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,89,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,90,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,91,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,92,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,93,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,94,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,95,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,96,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,97,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,98,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,99,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,100,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,101,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,102,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,103,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,104,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,105,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,106,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,107,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,108,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,109,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,110,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,111,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,112,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,113,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,114,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,115,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,116,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,117,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,118,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,119,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,120,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,121,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,122,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,123,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,124,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,125,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,126,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,127,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,128,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,129,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,130,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,131,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,132,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,133,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,134,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,135,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,136,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,137,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,138,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,139,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,140,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,141,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,142,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,143,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,144,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,145,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,146,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,147,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,148,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,149,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,150,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,151,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,152,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,153,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,154,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,155,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,156,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,157,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,158,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,159,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,160,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,161,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,162,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,163,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,164,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,165,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,166,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,167,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,168,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,169,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,170,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,171,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,172,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,173,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,174,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,175,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,176,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,177,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,178,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,179,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,180,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,181,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,182,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,183,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,184,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,185,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,186,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,187,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,188,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,189,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,190,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,191,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,192,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,193,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,194,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,195,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,196,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,197,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,198,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,1,199,1517
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,0,2602
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,1,2602
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,2,2602
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,3,2558
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,4,2462
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,5,2392
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,6,2191
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,7,2175
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,8,2106
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,9,2079
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,10,2133
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,11,2069
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,12,2025
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,13,1994
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,14,1946
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,15,1923
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,16,1935
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,17,1863
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,18,1786
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,19,1765
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,20,1743
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,21,1762
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,22,1690
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,23,1662
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,24,1724
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,25,1698
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,26,1692
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,27,1618
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,28,1522
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,29,1522
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,30,1541
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,31,1528
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,32,1526
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,33,1508
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,34,1510
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,35,1534
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,36,1552
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,37,1528
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,38,1505
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,39,1505
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,40,1505
0.5,false,10,0.0,dsaW0.7,0.2,1.0,2,41,1505
