p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,0,2147483647
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,1,2147483647
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,2,2147483647
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,3,2147483647
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,4,2147483647
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,5,251
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,6,251
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,7,251
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,8,188
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,9,178
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,10,178
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,11,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,12,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,13,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,14,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,15,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,16,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,17,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,18,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,19,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,20,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,21,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,22,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,23,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,24,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,25,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,26,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,27,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,28,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,29,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,30,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,31,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,32,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,33,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,34,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,35,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,36,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,37,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,38,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,39,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,40,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,41,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,42,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,43,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,44,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,45,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,46,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,47,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,48,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,49,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,50,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,51,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,52,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,53,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,54,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,55,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,56,168
0.0,true,-1,-1.0,UnsynchMono,0.99,1.0,1,57,168
